user_id,service_id,indirect_trust
0,0,0.887788773048402
0,1,0.9832621888197939
0,2,0.9814180822633306
0,3,0.9835636927604794
0,4,0.9839463874079195
0,5,0.9498309815586135
0,6,0.9334837399538651
0,7,0.948062719951016
0,8,0.9724671305591007
0,9,0.9284712606140687
0,10,0.9432560811731628
0,11,0.9349267446431485
0,12,0.8239991597331275
0,13,0.9062777749405195
0,14,0.9187928130068216
0,15,0.9297135684272531
0,16,0.9097928880603695
0,17,0.9113184995757568
0,18,0.9390898304604683
0,19,0.9853618836936519
