user_id,flagged,attack_percentage
3,1,20
5,1,20
9,1,20
16,1,20
25,1,20
33,1,20
39,1,20
42,1,20
45,1,20
46,1,20
55,1,20
57,1,20
63,1,20
72,1,20
73,1,20
75,1,20
76,1,20
78,1,20
82,1,20
84,1,20
90,1,20
104,1,20
108,1,20
109,1,20
110,1,20
113,1,20
116,1,20
118,1,20
119,1,20
124,1,20
126,1,20
139,1,20
144,1,20
155,1,20
158,1,20
165,1,20
172,1,20
173,1,20
176,1,20
181,1,20
182,1,20
197,1,20
203,1,20
208,1,20
210,1,20
221,1,20
228,1,20
231,1,20
261,1,20
266,1,20
278,1,20
280,1,20
284,1,20
286,1,20
296,1,20
300,1,20
305,1,20
306,1,20
314,1,20
315,1,20
316,1,20
317,1,20
319,1,20
325,1,20
329,1,20
331,1,20
334,1,20
336,1,20
